DATE,FIRECOUNT,WD,RH,WS,AT,CONST,GSDP,GSVA,GSDP_CAP,HDI,NO2,CO,PM10,PM25,SO2
30-09-2013,29,95.2,93.77,0.89,NaN,,443960,385931,249922,0.719,12.81,1.64,NaN,113.89,7.06
01-10-2013,36,105.02,80.29,0.96,NaN,,443960,385931,249922,0.719,13.62,1.67,NaN,89.51,6.81
02-10-2013,106,93.37,73.68,1.02,NaN,,443960,385931,249922,0.719,13.64,1.28,NaN,45.81,5.4
03-10-2013,173,100.22,69.41,1.04,NaN,,443960,385931,249922,0.719,12.81,1.44,NaN,39.57,9.82
04-10-2013,51,140.28,93.96,1.18,NaN,,443960,385931,249922,0.719,NaN,NaN,NaN,NaN,NaN
05-10-2013,73,129.15,71.27,0.72,NaN,,443960,385931,249922,0.719,NaN,NaN,NaN,NaN,NaN
06-10-2013,52,78.42,81.37,0.67,NaN,,443960,385931,249922,0.719,NaN,NaN,NaN,NaN,NaN
07-10-2013,105,54.59,83.92,0.71,NaN,,443960,385931,249922,0.719,11.27,2.05,NaN,64.39,5.41
08-10-2013,271,81.01,81.13,0.77,NaN,,443960,385931,249922,0.719,11.08,NaN,NaN,88.58,6.28
09-10-2013,229,53.75,76.53,0.61,NaN,,443960,385931,249922,0.719,10.42,NaN,NaN,166.17,4
10-10-2013,175,83.25,73.08,0.27,NaN,,443960,385931,249922,0.719,NaN,NaN,NaN,NaN,NaN
11-10-2013,31,92.63,93.02,0.44,NaN,,443960,385931,249922,0.719,NaN,NaN,NaN,NaN,NaN
12-10-2013,20,79.99,94.12,0.21,NaN,,443960,385931,249922,0.719,NaN,NaN,NaN,NaN,NaN
13-10-2013,94,87.83,89.28,0.26,NaN,,443960,385931,249922,0.719,NaN,NaN,NaN,NaN,NaN
14-10-2013,452,119.78,84.87,0.28,NaN,,443960,385931,249922,0.719,NaN,NaN,NaN,NaN,NaN
15-10-2013,2,106.79,79.77,0.28,NaN,,443960,385931,249922,0.719,NaN,NaN,NaN,NaN,NaN
16-10-2013,594,93.43,75.1,0.22,NaN,,443960,385931,249922,0.719,NaN,NaN,NaN,NaN,NaN
17-10-2013,593,91.24,76.86,0.26,NaN,,443960,385931,249922,0.719,NaN,NaN,NaN,NaN,NaN
18-10-2013,1097,91.8,76.59,0.46,NaN,,443960,385931,249922,0.719,9.81,2.57,NaN,158.65,9.08
19-10-2013,1456,109.42,67.3,0.64,NaN,,443960,385931,249922,0.719,8.07,1.98,NaN,204.47,5.51
20-10-2013,1353,98.19,68.67,0.55,NaN,,443960,385931,249922,0.719,7.98,2.1,NaN,258.68,4.74
21-10-2013,677,104.18,69.03,0.57,NaN,,443960,385931,249922,0.719,7.85,2.45,NaN,290.89,5.41
22-10-2013,1151,93.85,67.16,0.57,NaN,,443960,385931,249922,0.719,9.18,2.26,NaN,325.04,5.43
23-10-2013,1191,61.44,66.02,0.71,NaN,,443960,385931,249922,0.719,10.86,1.86,NaN,225.89,4.72
24-10-2013,2095,75.57,76.36,0.58,NaN,,443960,385931,249922,0.719,10.32,2,NaN,144.24,8.67
25-10-2013,2654,111.69,78.81,0.55,NaN,,443960,385931,249922,0.719,11.1,2.61,NaN,161.92,3.86
26-10-2013,1821,103.48,76.91,0.55,NaN,,443960,385931,249922,0.719,10.83,1.79,NaN,278.07,5.1
27-10-2013,2372,113.18,73.59,0.57,NaN,,443960,385931,249922,0.719,NaN,NaN,NaN,NaN,NaN
28-10-2013,2507,121.77,62.82,0.67,NaN,,443960,385931,249922,0.719,6.09,3.06,NaN,243.06,3.91
29-10-2013,3394,97.27,64.75,0.59,NaN,,443960,385931,249922,0.719,68.73,3.13,NaN,225.84,11.58
30-10-2013,4688,112.81,63.71,0.59,NaN,,443960,385931,249922,0.719,88.2,2.88,NaN,135.73,5.67
31-10-2013,2091,107.66,59.77,0.8,NaN,,443960,385931,249922,0.719,57.97,1.44,NaN,117.84,7.81
01-11-2013,1878,74.25,63.33,0.79,NaN,,443960,385931,249922,0.719,49.54,1.78,NaN,113.78,6.37
02-11-2013,4952,112.78,69.5,0.62,NaN,,443960,385931,249922,0.719,57.76,2.29,NaN,132.38,7.43
03-11-2013,4822,128.66,54.46,0.71,NaN,,443960,385931,249922,0.719,51.4,1.76,NaN,146.64,7.1
04-11-2013,7872,102.85,58.61,0.6,NaN,,443960,385931,249922,0.719,64,2.03,NaN,115,9.81
05-11-2013,1687,76.13,62.39,0.52,NaN,,443960,385931,249922,0.719,88.8,3.46,NaN,191.74,7.15
06-11-2013,728,56.71,58.21,0.71,NaN,,443960,385931,249922,0.719,65.38,1.86,NaN,170.39,10.14
07-11-2013,34,112.34,77.4,0.89,NaN,,443960,385931,249922,0.719,55.26,1.62,NaN,228.75,8.03
08-11-2013,327,96.03,77,0.8,NaN,,443960,385931,249922,0.719,45.85,1.31,NaN,295.62,5.62
09-11-2013,1371,106.39,73.12,0.62,NaN,,443960,385931,249922,0.719,NaN,NaN,NaN,NaN,NaN
10-11-2013,3721,122.03,67.6,0.65,NaN,,443960,385931,249922,0.719,NaN,NaN,NaN,NaN,NaN
11-11-2013,2097,129.39,59.23,0.71,NaN,,443960,385931,249922,0.719,NaN,NaN,NaN,NaN,NaN
12-11-2013,1733,117.18,58.01,0.58,NaN,,443960,385931,249922,0.719,NaN,NaN,NaN,NaN,NaN
13-11-2013,1749,115.53,61.98,0.57,NaN,,443960,385931,249922,0.719,NaN,NaN,NaN,NaN,NaN
14-11-2013,1688,106.29,69.8,0.6,NaN,,443960,385931,249922,0.719,NaN,NaN,NaN,NaN,NaN
15-11-2013,1239,103.19,55.06,0.57,NaN,,443960,385931,249922,0.719,114.62,3.83,NaN,258.81,5.09
16-11-2013,705,97.58,57.01,0.54,NaN,,443960,385931,249922,0.719,97.14,2.2,NaN,248.5,5.97
17-11-2013,514,125.31,53.1,0.63,NaN,,443960,385931,249922,0.719,84.21,1.75,NaN,277.78,9.12
